Name,Brand,Price,Picture,Category,Availability
  EPI ST CLOUD , Louis Vuitton,1995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19736_3_.jpg,Handbags,Available
  DAMIER AZUR NOE , Louis Vuitton,1750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19735_4_.jpg,Handbags,Available
  COCO CABAS SMALL , Chanel,1850.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19733_4_.jpg,Handbags,Available
  CC FILIGREE VANITY CASE SMALL , Chanel,5950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19731_5_.jpg,Handbags,Available
  TIMELESS CC MEDIUM TOTE , Chanel,3350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19724_5_.jpg,Handbags,Available
  SAFFIANO METAL ZIPPY ORGANISER , Prada,595.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19721_2_.jpg,Handbags,Available
  EVELYNE MINI PHW CLEMENCE , Hermes,3995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19707_3_.jpg,Handbags,Available
  DRAWSTRING MEDIUM BACKPACK , Bottega Veneta,1195.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19700_4_.jpg,Handbags,Available
  QUILTED LAMBSKIN MEDIUM CAMERA BAG , Chanel,3995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19699_5_.jpg,Handbags,Available
  MONO SPEEDY 25 , Louis Vuitton,1150.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19698_4_.jpg,Handbags,Available
  Paddock Flot Charm , Hermes,350.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/2/0/20211230_151522.jpg,Handbags,Available
  MON TRESOR MINI , Fendi,1650.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19690_5_.jpg,Handbags,Available
  MONO PALLAS , Louis Vuitton,1995.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19689_4_.jpg,Handbags,Available
  VINTAGE CLASSIC LAMBSKIN MAXI , Chanel,5750.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19688_4_.jpg,Handbags,Available
  MARMONT MATELASSE MINI BACKPACK , Gucci,1950.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19687_5_.jpg,Handbags,Available
  DAMIER ELISE WALLET , Louis Vuitton,395.0,https://www.madammilan.com.sg/media/catalog/product/cache/13/small_image/200x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fe19684_1_.jpg,Handbags,Available
